country_id,tournament_id,tournament_name,tournament_url,tournament_stage_id,tournament_template_id,country_name
144,tleu6wLc,NIFL Premiership,/football/northern-ireland/nifl-premiership/,zkzLxiel,MgHlK2Na,Northern Ireland
144,nobm4HkA,NIFL Championship,/football/northern-ireland/nifl-championship/,SQa4v4Wh,Cxq57r8g,Northern Ireland
144,AiZTo9Zr,Irish Cup,/football/northern-ireland/irish-cup/,nuEyZa0U,p4VWSYDs,Northern Ireland
144,dCXcom4e,Irish League Cup,/football/northern-ireland/irish-league-cup/,UN7fg3on,tzLcThTm,Northern Ireland
144,t2IHjxb9,Charity Shield,/football/northern-ireland/charity-shield/,voDH7BMj,08BRZzm7,Northern Ireland
144,ljx17UQE,Premiership Women,/football/northern-ireland/premiership-women/,2LNJkLpB,x6y1UsyP,Northern Ireland
118,Kp1jknJl,1. MFL,/football/north-macedonia/1-mfl/,rNmH2bUG,86Ja30cq,North Macedonia
118,t0kamQm1,2. MFL,/football/north-macedonia/2-mfl/,2P3I0xaT,4fNwNBm5,North Macedonia
118,SKmTn4ID,Macedonian Cup,/football/north-macedonia/macedonian-cup/,ILeqJJEc,6BcMMext,North Macedonia
118,x8NaZGC4,1. WFL Women,/football/north-macedonia/1-wfl-women/,rgC9nlPG,dvr8H1qL,North Macedonia
145,MFrsBBTH,Eliteserien,/football/norway/eliteserien/,WhRleNrH,GOvB22xg,Norway
145,rVWk9kbU,OBOS-ligaen,/football/norway/obos-ligaen/,rHbMeifc,UNGEKMx6,Norway
145,G6VTUhqn,Division 2 - Group 1,/football/norway/division-2-group-1/,GEEoh9gM,8EFIJthC,Norway
145,dGwxTWDb,Division 2 - Group 2,/football/norway/division-2-group-2/,nc5HnmHq,MahqU27I,Norway
145,Yo0hRArB,Division 3 - Group 1,/football/norway/division-3-group-1/,8CgQpRod,8tpKCrF1,Norway
145,88lNQlDN,Division 3 - Group 2,/football/norway/division-3-group-2/,Uam67Uw3,6R2NB2U7,Norway
145,viugLSzo,Division 3 - Group 3,/football/norway/division-3-group-3/,QRtF588F,Cl5Ezn78,Norway
145,O4tlqWSi,Division 3 - Group 4,/football/norway/division-3-group-4/,0WRfm0hl,ju4IZ5ME,Norway
145,lGZHrAc4,Division 3 - Group 5,/football/norway/division-3-group-5/,dbL3ovN0,b93rzQyL,Norway
145,l0iZtlSG,Division 3 - Group 6,/football/norway/division-3-group-6/,2eOBqIiD,x02nZqiR,Norway
145,MDksuSdT,NM Cup,/football/norway/nm-cup/,n9P67LqK,fXf5mQ7t,Norway
145,Icb2uMl1,Super Cup,/football/norway/super-cup/,dY8xmcRe,6FBf6ewJ,Norway
145,A3VxcmsA,OBOS Supercup,/football/norway/obos-supercup/,QmvUExim,r1VcuZpl,Norway
145,fsAmvJee,Nasjonal U19 CL,/football/norway/nasjonal-u19-cl/,t29RRFzg,hnqklTS4,Norway
145,Kz2mnvmR,Toppserien Women,/football/norway/toppserien-women/,buD1JOYq,AovF1Mia,Norway
145,8Q1StIAl,Division 1 Women,/football/norway/division-1-women/,bqLCwpQF,W0KYghoJ,Norway
145,fo0dtdu1,Norway Cup Women,/football/norway/norway-cup-women/,0Cg0Uum2,AsPDZWYO,Norway
149,vcj87Pic,LPF,/football/panama/lpf/,MXAqEBOq,jHCVwi4L,Panama
151,QHlx73M9,Copa de Primera,/football/paraguay/copa-de-primera/,EBFnzgo3,S66R0t75,Paraguay
151,pSKBbLEq,Division Intermedia,/football/paraguay/division-intermedia/,xd5ER1qf,GWd9tTGF,Paraguay
151,29dMx1Gh,Copa Paraguay,/football/paraguay/copa-paraguay/,AyEJgIg3,tvOJRWN2,Paraguay
151,lzdd8Zv0,Super Cup,/football/paraguay/super-cup/,8xZFClsH,UPDtw5pL,Paraguay
